drug_name,num_motifs,motifs
paclitaxel,9,CC1=C2CC(=O)C3(C)C(O)CC4OCC4C3CC(O)(CC1)C2(C)C | CC(O)C=O | c1ccccc1 | C=O | c1ccccc1 | C=O | c1ccccc1 | CC=O | CC=O
pamidronic.acid,1,NCCC(O)(P(=O)([O-])O)P(=O)([O-])O
pantoprazole,5,CO | c1ccncc1 | CS(=O)c1nc2ccccc2[nH]1 | OC(F)F | CO
paroxetine,3,C1CCNCC1 | Fc1ccccc1 | c1ccc2c(c1)OCO2
penbutolol,4,CC(C)C | CC(C)O | c1ccccc1 | C1CCCC1
penciclovir,1,CCC(CO)CO
penicillamine,1,CC(C)(S)C(N)C(=O)O
pentamidine.isethionate,3,N=C(N)c1ccccc1 | CCCCC | N=C(N)c1ccccc1
pentostatin,2,OC1CCOC1 | CO
pentoxifylline,1,CCCCC(C)=O
pergolide,3,CCC | c1cc2c3c(c[nH]c3c1)CC1NCCCC21 | CS
sodium.phenylbutyrate,2,c1ccccc1 | CCCC(=O)O
pilocarpine,3,CC | O=C1CCCO1 | Cn1ccnc1
pindolol,3,CCC | CC(C)O | c1ccc2[nH]ccc2c1
pioglitazone,5,CC | c1ccncc1 | CC | c1ccccc1 | O=C1CSC(=O)N1
piperacillin,7,CC | O=C1NCCNC1=O | C=O | CC=O | c1ccccc1 | CC1(C)CN2C(=O)CC2S1 | O=C[O-]
pirbuterol,4,CC(C)C | CCO | Oc1cccnc1 | CO
podophyllotoxin,4,CO | O=C1OCC2C(O)c3cc4c(cc3C(c3ccccc3)C12)OCO4 | CO | CO
pramipexole,2,CCC | Nc1nc2c(s1)CCCC2
pravastatin,3,CCC(C)C=O | CC1C=CC2=CC(O)CCC2C1 | CCC(O)CC(O)CC(=O)O
prazosin,6,CO | Nc1ncnc2ccccc12 | C1CNCCN1 | C=O | c1ccoc1 | CO
progesterone,2,CC=O | CC12CCCC1C1CCC3=CC(=O)CCC3(C)C1CC2
propafenone,5,CCC | CC(C)O | c1ccccc1 | CCC=O | c1ccccc1
propranolol,3,CCC | CC(C)O | c1ccc2ccccc2c1
pyridostigmine,3,C[n+]1ccccc1 | C=O | CNC
quazepam,2,Fc1ccccc1C1=NCC(=S)Nc2ccc(Cl)cc21 | CC(F)(F)F
quetiapine,3,c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1S2 | CC | CCO
quinapril,6,CC | CCCC=O | c1ccccc1 | CCC=O | c1ccc2c(c1)CCNC2 | O=CO
rabeprazole,4,Cc1cccnc1 | CS(=O)c1nc2ccccc2[nH]1 | CCC | CO
raloxifene,6,C1CCNCC1 | CC | c1ccccc1 | C=O | Oc1ccc2ccsc2c1 | Oc1ccccc1
ramipril,6,CC | CCCC=O | c1ccccc1 | CCC=O | C1CC2CCNC2C1 | O=CO
sirolimus,6,CC1=CC=CC=CC(C)CC(C)C(=O)CC(O)C(C)=CC(C)C(=O)CCOC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(CC1)CCC2C | CCC | OC1CCCCC1 | CO | CO | CO
rescinnamine,10,CO | c1ccc2c3c([nH]c2c1)C1CC2CCCCC2CN1CC3 | C=O | CO | CO | CC=O | Cc1ccccc1 | CO | CO | CO
ribavirin,3,OC1COCC1O | CO | NC=O
riluzole,2,Nc1nc2ccccc2s1 | OC(F)(F)F
rimantadine,2,CCN | C1C2CC3CC1CC(C2)C3
risperidone,4,Cc1cc(=O)n2c(n1)CCCC2 | CC | C1CCNCC1 | Fc1ccc2cnoc2c1
ritonavir,10,CCC | c1cscn1 | CN | C=O | CC(C)CC=O | CCCC(O)CC | c1ccccc1 | c1ccccc1 | C=O | c1cscn1
rivastigmine,6,CC | CN | C=O | c1ccccc1 | CC | CNC
rizatriptan,3,CNC | CC | c1ccc2[nH]ccc2c1
rofecoxib,1,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
ropinirole,4,CCC | CCC | CC | O=C1Cc2ccccc2N1
salmeterol,6,c1ccccc1 | CCCC | CCCCCC | CCO | Oc1ccccc1 | CO
stavudine,2,C1=CCOC1 | CO
selegiline,4,CCC | c1ccccc1 | CN | C#CC
sertraline,1,CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21
sildenafil,5,CCC | Cn1ncc2[nH]cnc(=O)c21 | O=[SH](=O)c1ccccc1 | CN1CCNCC1 | CC
risedronic.acid,2,c1ccncc1 | CC(O)(P(=O)(O)O)P(=O)(O)O
sotalol,4,CCC | CCO | c1ccccc1 | C[SH](=O)=O
sparfloxacin,3,CC1CNCC(C)N1 | C1CC1 | O=CO
imatinib,6,Cc1ccccc1 | C=O | c1ccccc1 | CN1CCNCC1 | c1cncnc1 | c1ccncc1
streptomycin,5,CC1OCCC1(O)C=O | NC(N)=NC1CC(O)C(O)C(N=C(N)N)C1O | OC1CCOCC1O | CO | CN
streptozocin,3,CN(C=O)N=O | OC1CC(O)C(O)CO1 | CO
sumatriptan,5,CN | C[SH](=O)=O | c1ccc2[nH]ccc2c1 | CC | CNC
tacrolimus,6,CCC1OC(=O)C2CCCCN2C(=O)C(=O)C2(O)OC(CCC(C)CC(C)=CCC(=O)CC(O)C1C)CCC2C | C=CC | CC1CCC(O)CC1 | CO | CO | CO
tamoxifen,4,CCCc1ccccc1 | c1ccc(Cc2ccccc2)cc1 | CC | CNC
gatifloxacin,4,CC1CNCCN1 | CO | O=CO | C1CC1
tazarotene,3,CC | C=O | CC1(C)CCSc2ccc(C#Cc3ccccn3)cc21
temazepam,1,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
temozolomide,2,Cn1nnc2cncn2c1=O | NC=O
teniposide,5,CO | O=C1OCC2C(O)c3cc4c(cc3C(c3ccc(O)cc3)C12)OCO4 | CO | OC1COC2COCOC2C1O | c1ccsc1
terazosin,6,CO | Nc1ncnc2ccccc12 | C1CNCCN1 | C=O | C1CCOC1 | CO
terbinafine,4,CC#CC(C)(C)C | CC | CN | c1ccc2ccccc2c1
terbutaline,3,CC(C)C | CCO | Oc1cccc(O)c1
terconazole,5,CCC | C1CNCCN1 | c1ccccc1 | C1COCO1 | Clc1cccc(Cl)c1
testosterone,1,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
thalidomide,2,O=C1CCCC(=O)N1 | O=C1NC(=O)c2ccccc21
thiotepa,1,S=P(N1CC1)(N1CC1)N1CC1
tiagabine,4,Cc1ccsc1Cc1sccc1C | CCC | C1CCNCC1 | O=CO
tiaprofenic.acid,4,CCC(=O)O | c1ccsc1 | C=O | c1ccccc1
timolol,4,CC(C)C | CC(C)O | c1cnsn1 | C1COCCN1
tinidazole,1,CCS(=O)(=O)CC
tirofiban,5,CCCC[SH](=O)=O | CCC(=O)O | c1ccccc1 | CCCC | C1CCNCC1
tizanidine,2,NC1=NCCN1 | Clc1ccc2nsnc2c1
tobramycin,5,NC1CC(N)CC(O)C1 | NC1C(O)COCC1O | CO | NC1COCC(O)C1 | CN
tolterodine,5,Cc1ccc(O)cc1 | CCC | CCC | CCC | c1ccccc1
topiramate,2,CC1(C)OC2COC3OC(C)(C)OC3C2O1 | NS(=O)(=O)O
topotecan,2,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1 | CNC
toremifene,4,CNC | CC | c1ccc(Cc2ccccc2)cc1 | ClCCCc1ccccc1
tramadol,4,CNC | OC1CCCCC1 | c1ccccc1 | CO
trandolapril,6,CC | CCCC=O | c1ccccc1 | CCC=O | C1CCC2NCCC2C1 | O=CO
tranexamic.acid,3,C1CCCCC1 | CN | O=CO
trazodone,3,C1CNCCN1 | CCC | Clc1ccccc1
alitretinoin,5,CC1=C(C)C(C)(C)CCC1 | CCC | CC | CCC | CC(=O)O
isotretinoin,5,CC1=C(C)C(C)(C)CCC1 | CCC | CC | CCC | CC(=O)O
tretinoin,5,CC1=C(C)C(C)(C)CCC1 | CCC | CC | CCC | CC(=O)O
triamcinolone,2,CC12CC(O)C3(F)C(CCC4=CC(=O)C=CC43C)C1CC(O)C2O | O=CCO
triazolam,1,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2
trimethoprim,5,CO | c1ccccc1 | CO | CO | Nc1ccnc(N)n1
trimetrexate,5,Cc1cccc2nc(N)[nH+]c(N)c12 | c1ccccc1 | CO | CO | CO
tropisetron,3,CN1C2CCCC1CC2 | C=O | c1ccc2[nH]ccc2c1
trospium,4,C1CC2CCC(C1)[N+]21CCCC1 | O=CCO | c1ccccc1 | c1ccccc1
delavirdine,6,CCC | c1ccncc1 | C1CNCCN1 | C=O | c1ccc2[nH]ccc2c1 | C[SH](=O)=O
ursodeoxycholic.acid,2,CCCCC(=O)O | CC12CCCC1C1C(O)CC3CC(O)CCC3(C)C1CC2
valaciclovir,3,CC(C)C(N)C=O | CC | CO
valsartan,5,CCCCC=O | c1ccccc1 | c1ccccc1 | c1nn[nH]n1 | CC(C)CC(=O)O
vancomycin,7,CC1OCCC(C)(N)C1O | OC1CCOCC1O | O=C1CC(O)c2ccc(c(Cl)c2)Oc2cc3cc(c2)C(NC(=O)CN1)C(=O)NC1C(=O)NC(C(=O)NC(C(=O)O)c2cc(O)cc(O)c2-c2cc1ccc2O)C(O)c1ccc(c(Cl)c1)O3 | CC(N)=O | CC(C)CCC=O | CN | CO
venlafaxine,5,CNC | CC | c1ccccc1 | CO | OC1CCCCC1
vigabatrin,1,C=CC(N)CCC(=O)O
vinorelbine,7,CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C=O)(c1ccc3c(c1)C14CCN5CC=CC(CC(O)C1N3C)C54)C2 | C=O | CO | CC=O | CC | CO | CO
zafirlukast,7,Cc1ccccc1[SH](=O)=O | C=O | c1ccccc1 | Cn1ccc2ccccc21 | C=O | C1CCCC1 | CO
zaleplon,4,CC | c1ccccc1 | N#Cc1cnn2cccnc12 | CC=O
zanamivir,3,CC=O | NC(N)=NC1C=C(C(=O)O)OCC1 | OCC(O)CO
zidovudine,2,[N-]=[N+]=NC1CCOC1 | CO
zolmitriptan,4,CNC | CC | c1ccc2[nH]ccc2c1 | O=C1NCCO1
zolpidem,4,Cc1ccccc1 | Cc1ccc2nccn2c1 | CC=O | CNC
zonisamide,2,c1ccc2oncc2c1 | CS(N)(=O)=O
eszopiclone,4,CN1CCNCC1 | C=O | O=C1NC(O)c2nccnc21 | Clc1cccnc1
oxytocin,10,CCCC | NC1CSSCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC1=O | Oc1ccccc1 | C=O | C1CCNC1 | C=O | CC(C)CCC=O | CC(N)=O | CC(N)=O | CCC(N)=O
phentolamine,3,Cc1ccccc1 | CC1=NCCN1 | Oc1ccccc1
vincristine,8,CC | O=CN1c2ccc(C3(C=O)CC4CC(O)CN(CCc5c3[nH]c3ccccc53)C4)cc2C23CCN4CC=CC(CC(O)C12)C43 | C=O | CO | CC=O | CC | CO | CO
tetrabenazine,4,CC(C)C | O=C1CCN2CCc3ccccc3C2C1 | CO | CO
mercaptamine,1,NCCS
hydroxyprogesterone,2,CC=O | CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
albumin,1,FC(F)(F)C(F)(F)C(F)(F)F
benzoyl.peroxide,5,c1ccccc1 | C=O | OO | C=O | c1ccccc1
aminophylline,3,Cn1c(=O)c2[nH]cnc2n(C)c1=O | Cn1c(=O)c2[nH]cnc2n(C)c1=O | NCCN
sodium.oxybate,1,O=C(O)CCCO
desonide,2,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2O1 | O=CCO
arsenic.trioxide,0,
amiloride,2,Nc1cnc(Cl)c(N)n1 | NC(N)=NC=O
pimozide,4,C1CCNCC1 | CCCC | Fc1ccccc1 | Fc1ccccc1
fluorescein,1,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
decitabine,2,OC1CCOC1 | CO
hydrocodone,2,CN1CCC23c4c5cccc4OC2C(=O)CCC3C1C5 | CO
sodium.aurothiomalate,1,O=C([O-])CC([S-])C(=O)[O-]
samarium.(153Sm).lexidronam,0,
technetium.(99mTc).exametazime,0,
isosorbide.mononitrate,2,OC1COC2CCOC12 | O=[N+]([O-])O
desmopressin,10,C1CCNC1 | C=O | O=C1CCSSCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1 | CC(N)=O | CCC(N)=O | c1ccccc1 | Oc1ccccc1 | C=O | NC(N)=NCCCCC=O | CC(N)=O
conjugated.estrogens,2,CC12CCC3C(=CCc4ccccc43)C1CCC2=O | O=S(=O)(O)O
dexrazoxane,3,CCC | O=C1CNCC(=O)N1 | O=C1CNCC(=O)N1
oxcarbazepine,2,O=C1Cc2ccccc2Nc2ccccc21 | NC=O
gonadorelin,15,CC(C)CCC=O | NC(N)=NCCCCC=O | C1CCNC1 | C=O | CC(N)=O | CC=O | CCC=O | Oc1ccccc1 | O=CCCO | CCC=O | c1ccc2[nH]ccc2c1 | CCC=O | c1c[nH]cn1 | C=O | O=C1CCCN1
halofantrine,5,CCCC | CCCC | CCCO | Clc1cc(Cl)c2ccc3ccccc3c2c1 | FC(F)F
pentosan.polysulfate.sodium,6,OC1CCCOC1 | OC1CCCCO1 | O=S(=O)(O)O | O=S(=O)(O)O | O=S(=O)(O)O | O=S(=O)(O)O
bezafibrate,5,CC(C)C(=O)O | c1ccccc1 | CC | C=O | Clc1ccccc1
nabilone,2,CCCCCCC(C)C | CC1(C)Oc2cccc(O)c2C2CC(=O)CCC21
pinaverium,7,CC1(C)C2CCCC1C2 | CC | CC | C1COCC[N+]1 | Brc1ccccc1 | CO | CO
etonogestrel,2,CC | C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21
acitretin,6,Cc1ccc(C)c(C)c1C | CCC | CC | CCC | CC(=O)O | CO
nitazoxanide,4,CC=O | c1ccccc1 | C=O | O=[N+]([O-])c1cncs1
sufentanil,6,CCC=O | c1ccccc1 | C1CCNCC1 | CC | c1ccsc1 | CO
torasemide,4,Cc1ccccc1 | O=[SH](=O)c1cccnc1 | C=O | CCC
desflurane,2,FCC(F)(F)F | OC(F)F
buserelin,16,CC | C=O | C1CCNC1 | NC(N)=NCCCCC=O | CC(C)CCC=O | CCC=O | CC(C)C | CCC=O | Oc1ccccc1 | O=CCCO | CCC=O | c1ccc2[nH]ccc2c1 | CCC=O | c1c[nH]cn1 | C=O | O=C1CCCN1
misoprostol,4,CCCCC(C)(O)CC | CC1CC(=O)CC1O | CCCCCCC=O | CO
lodoxamide,4,N#Cc1ccc(Cl)cc1 | O=CC(=O)O | O=CC(=O)O | NC(CO)(CO)CO
atracurium,15,CC1c2ccccc2CC[N+]1C | c1ccccc1 | CO | CO | CO | CO | CCC=O | CCCCC | CCC=O | CC1c2ccccc2CC[N+]1C | c1ccccc1 | CO | CO | CO | CO
nicorandil,4,c1ccncc1 | C=O | CC | O=[N+]([O-])O
naftifine,4,CN | CC | Cc1ccccc1 | c1ccc2ccccc2c1
goserelin,15,CC(C)CCC=O | NC(N)=NCCCCC=O | C1CCNC1 | NC(=O)NNC=O | CCC=O | CC(C)C | CCC=O | Oc1ccccc1 | O=CCCO | CCC=O | c1ccc2[nH]ccc2c1 | CCC=O | c1c[nH]cn1 | C=O | O=C1CCCN1
alfentanil,7,CCC=O | c1ccccc1 | C1CCNCC1 | CC | O=C1N=NN=N1 | CC | CO
miglustat,3,CCCC | OC1CNCC(O)C1O | CO
iloprost,3,CC#CCC(C)C(C)O | CC1C(O)CC2CCCC21 | CCCCC(=O)O
octreotide,11,CCO | O=C1CCSSCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1 | CCCCN | c1ccc2[nH]ccc2c1 | c1ccccc1 | CC(N)C=O | c1ccccc1 | C=O | CC(O)CCO | CC(=O)O | CC(=O)O
simvastatin,4,CCC(C)(C)C=O | CC1C=C2C=CC(C)CC2CC1 | CC | O=C1CC(O)CCO1
clarithromycin,7,CC | CC1CC(C)CC(C)C(=O)C(C)C(O)C(C)(O)COC(=O)C(C)C1 | CC1CCOC(C)C1O | CO | CC1CCC(O)CO1 | CNC | CO
treprostinil,3,CCCCCC(O)CC | OC1CC2Cc3ccccc3CC2C1 | CC(=O)O
atomoxetine,4,Cc1ccccc1 | CCC | CN | c1ccccc1
moexipril,7,CCC=O | c1ccc2c(c1)CCNC2 | O=CO | CO | CO | CCCC(=O)O | c1ccccc1
milnacipran,6,CC | CC | C=O | C1CC1 | C[NH3+] | c1ccccc1
fosphenytoin,4,c1ccccc1 | O=C1CNC(=O)N1 | COP(=O)([O-])[O-] | c1ccccc1
ranolazine,6,Cc1cccc(C)c1 | CC=O | C1CNCCN1 | CC(C)O | c1ccccc1 | CO
imiquimod,1,CC(C)C
rotigotine,4,CCC | CC | c1ccsc1 | Oc1cccc2c1CCCC2
levetiracetam,2,CCCC(N)=O | O=C1CCCN1
esmolol,5,CCC | CC(C)O | c1ccccc1 | CCC=O | CO
tamsulosin,6,CC | c1ccccc1 | CC | CCC | NS(=O)(=O)c1ccccc1 | CO
adapalene,5,CO | c1ccccc1 | c1ccc2ccccc2c1 | O=CO | C1C2CC3CC1CC(C2)C3
perindopril,6,CCCCC=O | CC | CCC=O | C1CCC2NCCC2C1 | O=CO | CC(C)(C)N
exemestane,1,C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
dexmedetomidine,3,Cc1ccccc1C | CC | c1c[nH]cn1
dexmethylphenidate,3,Cc1ccccc1C | CC | c1c[nH]cn1
cidofovir,2,CCCO | O=P(O)(O)CO
meropenem,5,CC1C(S)=C(C(=O)O)N2C(=O)CC12 | C1CCNC1 | C=O | CNC | CCO
temoporfin,5,C1=Cc2cc3ccc(cc4nc(cc5ccc(cc1n2)[nH]5)CC4)[nH]3 | Oc1ccccc1 | Oc1ccccc1 | Oc1ccccc1 | Oc1ccccc1
ibutilide,12,CCCCCCC | CC | CCCCO | c1ccccc1 | C[SH](=O)=O | CCCCCCC | CC | CCCCO | c1ccccc1 | C[SH](=O)=O | CC(=O)O | CC(=O)O
saquinavir,8,CC(C)C | C=O | C1CCC2CNCCC2C1 | CCC(C)O | c1ccccc1 | NC(=O)CCC=O | C=O | c1ccc2ncccc2c1
aripiprazole,4,O=C1CCc2ccccc2N1 | CCCC | C1CNCCN1 | Clc1ccccc1Cl
remifentanil,7,CCC=O | c1ccccc1 | C1CCNCC1 | CCC=O | CO | C=O | CO
tiotropium.bromide,4,C[N+]1(C)C2CCCC1C1OC12 | O=CCO | c1ccsc1 | c1ccsc1
duloxetine,4,CN | CCC | c1ccsc1 | c1ccc2ccccc2c1
pemetrexed,5,c1ccccc1 | CC | Nc1nc(=O)c2cc[nH]c2[nH]1 | C=O | O=C(O)CCCC(=O)O
ibandronic.acid,3,CCCCC | CN | CCC(O)(P(=O)(O)O)P(=O)(O)O
ziprasidone,4,C1CNCCN1 | CC | O=C1Cc2ccc(Cl)cc2N1 | c1ccc2sncc2c1
olopatadine,4,CNC | CCC | c1ccc2c(c1)COc1ccccc1C2 | CC(=O)O
levosimendan,1,CC1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1
adefovir.dipivoxil,4,CC(C)(C)C=O | O=P(CO)(OCO)OCO | CC | CC(C)(C)C=O
emtricitabine,2,C1CSCO1 | CO
eprosartan,6,CCCC | c1ccccc1 | O=CO | CCC(=O)O | c1ccsc1 | CS(=O)(=O)O
capecitabine,3,CCCCC | C=O | CC1OCC(O)C1O
doxycycline,2,CC1c2cccc([O-])c2C([O-])=C2C(=O)C3(O)C(=O)C(=C(N)[O-])C(=O)CC3C([O-])C21 | CNC
urofollitropin,10,CCCC | NC1CSSCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC1=O | Oc1ccccc1 | C=O | C1CCNC1 | C=O | CC(C)CCC=O | CC(N)=O | CC(N)=O | CCO
fluticasone,2,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1O | O=CSCF
trovafloxacin,3,NC1C2CNCC12 | Fc1cccc(F)c1 | O=CO
valganciclovir,3,CC(C)C(N)C=O | CCCO | CO
plerixafor,3,C1CNCCNCCCNCCNC1 | c1ccccc1 | C1CNCCNCCCNCCNC1
bendamustine,4,Cn1cnc2ccccc21 | CCCl | CCCl | CCCC(=O)O
colestilan,3,Cc1ncc[nH]1 | C1CO1 | CCl
reboxetine,4,CC | c1ccccc1 | C1COCCN1 | c1ccccc1
lercanidipine,8,CC1=C(C=O)CC(C=O)=C(C)N1 | CC(C)C | CN | CCC | c1ccccc1 | c1ccccc1 | O=[N+]([O-])c1ccccc1 | CO
telmisartan,5,CCC | c1ccccc1 | c1ccccc1 | O=CO | Cn1cnc2ccccc21
zoledronic.acid,1,CC(O)(P(=O)(O)O)P(=O)(O)O
brinzolamide,4,CC | NC1CNS(=O)(=O)c2sc(S(N)(=O)=O)cc21 | CCC | CO
acamprosate,2,CC=O | CCCS(=O)(=O)O
ropivacaine,4,CCC | C1CCNCC1 | C=O | Cc1cccc(C)c1
nebivolol,4,Fc1ccc2c(c1)CCCO2 | CCO | CCO | Fc1ccc2c(c1)CCCO2
dofetilide,7,CN | CC | c1ccccc1 | C[SH](=O)=O | CC | c1ccccc1 | C[SH](=O)=O
lanreotide,10,CCC | O=C1CCSSCCNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1 | CCCCN | c1ccc2[nH]ccc2c1 | Oc1ccccc1 | CC(N)C=O | c1ccc2ccccc2c1 | C=O | CC(O)CC(N)=O | CC(=O)O
iloperidone,6,CC=O | c1ccccc1 | CCC | C1CCNCC1 | Fc1ccc2cnoc2c1 | CO
voriconazole,3,CCC(C)O | Fc1cncnc1 | Fc1cccc(F)c1
darifenacin,6,C1CCNC1 | CC(N)=O | c1ccccc1 | c1ccccc1 | CC | c1ccc2c(c1)CCO2
rifaximin,3,CC1=CC=CC(C)C(O)C(C)C(O)C(C)CC(C)CC=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC1=O | CC=O | CO
bleomycin,19,Cc1cncnc1N | CCC(N)=O | CC(N)C(N)=O | C=O | CCC=O | c1c[nH]cn1 | OC1CCOCC1O | CO | OC1COCC(O)C1 | CO | NC=O | CCC(O)C(C)C=O | CC(O)CC=O | CC | c1cscn1 | c1cscn1 | C=O | CCC[S+](C)C | O=S(=O)([O-])O
gemifloxacin,4,CON=C1CCNC1 | CN | C1CC1 | O=CO
doripenem,4,CC1C(S)=C(C(=O)O)N2C(=O)CC12 | C1CCNC1 | NS(N)(=O)=O | CCO
telithromycin,7,CC | CC1CC(C)C(=O)C(C)C(=O)OCC2(C)OC(=O)NC2C(C)C(=O)C(C)C1 | CC1CCC(O)CO1 | CNC | CO | CCCC | c1ccncc1
atovaquone,2,O=C1C(=O)c2ccccc2C(O)=C1C1CCCCC1 | Clc1ccccc1
frovatriptan,3,CN | c1ccc2c3c([nH]c2c1)CCCC3 | NC=O
eletriptan,3,CN1CCCC1 | c1ccc2[nH]ccc2c1 | CCS(=O)(=O)c1ccccc1
paricalcitol,5,CCC | CC(C)C(C)(C)O | CC12CCCCC1CCC2 | CC | OC1CCCC(O)C1
rosiglitazone,7,CN | CC | c1ccccc1 | O=C1CSC(=O)N1 | c1ccncc1 | CC(=O)O | CC(=O)O
bexarotene,2,C=C(c1ccccc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C | O=CO
agomelatine,4,CC=O | CC | c1ccc2ccccc2c1 | CO
muromonab-CD3,1,O=C(O)CC[Ge](=O)O[Ge](=O)CCC(=O)O
bortezomib,5,CC(C)CCB(O)O | CCC=O | c1ccccc1 | C=O | c1cnccn1
nelarabine,3,CO | OC1COCC1O | CO
rasburicase,4,OC1COCC1O | O=P(O)(O)O | OC1CCOC1 | CO
fulvestrant,2,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O | CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F
raltitrexed,5,Cc1nc(=O)c2ccccc2[nH]1 | CN | c1ccsc1 | C=O | O=C(O)CCCC(=O)O
levodopa,4,CC(C)(NN)C(=O)O | Oc1ccccc1O | Oc1ccccc1O | CC(N)C(=O)O
fotemustine,4,CC | CCP(=O)(O)O | O=CN(CCCl)N=O | CC
bosentan,7,CC(C)C | O=[SH](=O)c1ccccc1 | c1cncnc1 | c1cncnc1 | CCO | c1ccccc1 | CO
fingolimod,3,CCCCCCCC | c1ccccc1 | CCC(N)(CO)CO
vardenafil,6,CCC | Cc1ncn2[nH]cnc(=O)c12 | O=[SH](=O)c1ccccc1 | C1CNCCN1 | CC | CC
tadalafil,1,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O
eslicarbazepine,2,OC1Cc2ccccc2Nc2ccccc21 | NC=O
paliperidone,4,Cc1cc(=O)n2c(n1)C(O)CCC2 | CC | C1CCNCC1 | Fc1ccc2cnoc2c1
nitisinone,4,O=C1CCCC(=O)C1 | C=O | O=[N+]([O-])c1ccccc1 | FC(F)F
clofarabine,2,OC1COCC1F | CO
valdecoxib,3,Cc1ccno1 | c1ccccc1 | NS(=O)(=O)c1ccccc1
tenofovir.disoproxil,6,CCC | C=O | O=P(CO)(OCO)OCO | CCC | C=O | CCC
ustekinumab,3,CC1(C)N=C(N)N=C(N)N1O | CCC | Clc1ccc(Cl)c(Cl)c1
retigabine,4,CC | C=O | Nc1ccccc1 | Fc1ccccc1
iodine.ioflupane.(123I),5,CO | C=O | C1CC2CCC(C1)N2 | CCCF | Ic1ccccc1
rasagiline,2,C#CC | NC1CCc2ccccc21
romiplostim,2,Cc1cc(C)c(C)[nH]1 | O=C1Cc2ccccc2N1
travoprost,7,CCC | CCCCC=O | CC | CC1CC(O)CC1O | CC(C)O | c1ccccc1 | FC(F)F
almotriptan,5,CNC | CC | c1ccc2[nH]ccc2c1 | C[SH](=O)=O | C1CCNC1
eptifibatide,5,O=C1CCSSCCNC(=O)C2CCCN2C(=O)CNC(=O)CNC(=O)CNC(=O)CN1 | c1ccc2[nH]ccc2c1 | CC(=O)O | CCCCN=C(N)N | NC=O
fondaparinux,16,CO | OC1CCOCC1 | O=S(=O)([O-])O | OC1CCOCC1 | O=C[O-] | C1CCOCC1 | O=S(=O)([O-])O | OC1CCOCC1O | O=C[O-] | OC1CCOCC1O | O=S(=O)([O-])O | NS(=O)(=O)[O-] | O=S(=O)([O-])O | NS(=O)(=O)[O-] | O=S(=O)([O-])O | NS(=O)(=O)[O-]
caspofungin,9,CCC(C)CC(C)CCCCCCCCC=O | O=C1CCC(O)CNC(=O)C2C(O)CCN2C(=O)CNC(=O)CNC(=O)C2CC(O)CN2C(=O)CN1 | CCO | OCCO | Oc1ccccc1 | NCCCO | CCN | CC(=O)O | CC(=O)O
gefitinib,5,CO | c1ccc2ncncc2c1 | Fc1ccccc1Cl | CCC | C1COCCN1
desloratadine,2,Clc1ccc2c(c1)CCc1cccnc1C2 | C1CCNCC1
desvenlafaxine,4,CNC | CC | Oc1ccccc1 | OC1CCCCC1
pregabalin,1,CC(C)CC(CN)CC(=O)O
bimatoprost,6,CC | CCCCC=O | CC | CC1CC(O)CC1O | CCC(C)O | c1ccccc1
rufinamide,2,Fc1cccc(F)c1 | NC=O
rosuvastatin,6,CCC | Cc1cncnc1 | CC(O)CC(O)CC(=O)O | Fc1ccccc1 | CN | C[SH](=O)=O
olmesartan.medoxomil,7,CCC | c1ccccc1 | c1ccccc1 | c1nn[nH]n1 | C=O | Cc1coc(=O)o1 | CC(C)O
fosamprenavir,7,CC(C)C | CCCC | c1ccccc1 | C=O | C1CCOC1 | O=P([O-])([O-])O | Nc1ccc([SH](=O)=O)cc1
